,imp_surf,building,low_veg,tree,car,clutter
imp_surf,24731.0,821.0,393.0,68.0,124.0,259.0
building,260.0,12176.0,33.0,28.0,11.0,8.0
low_veg,422.0,88.0,2494.0,611.0,0.0,0.0
tree,246.0,248.0,621.0,4757.0,0.0,0.0
car,885.0,180.0,73.0,12.0,275.0,26.0
clutter,180.0,325.0,7.0,0.0,1.0,0.0
Precision,0.925422840892082,0.8798959387194681,0.6887600110466722,0.868699780861943,0.6690997566909975,0.0
Recall,0.9369222609486286,0.9728347714924896,0.6899031811894882,0.8101158038147139,0.18952446588559613,0.0
F1,0.9311370481927711,0.9240343021932154,0.6893311221669431,0.838385618611209,0.29538131041890436,0.0
Support,26396.0,12516.0,3615.0,5872.0,1451.0,513.0
0.882254829935
