,imp_surf,building,low_veg,tree,car,clutter
imp_surf,11707.0,524.0,1106.0,392.0,68.0,82.0
building,371.0,12291.0,99.0,80.0,15.0,5.0
low_veg,1081.0,716.0,6236.0,3018.0,3.0,6.0
tree,110.0,41.0,603.0,10065.0,0.0,0.0
car,383.0,69.0,92.0,22.0,194.0,3.0
clutter,0.0,0.0,0.0,0.0,0.0,0.0
Precision,0.8575300322297099,0.9010336485594898,0.7664700098328416,0.7413272446048464,0.6928571428571428,0.0
Recall,0.8435045752575834,0.9556799626778633,0.5638336347197107,0.9303077918476754,0.254259501965924,0.0
F1,0.8504594820384294,0.9275526375367896,0.6497186913940404,0.825135268076734,0.3720038350910834,0.0
Support,13879.0,12861.0,11060.0,10819.0,763.0,0.0
0.81999513993
